date,ticker_leg1,ticker_leg2,value,spread,year,delivery_date,days_to_delivery
2016-01-15,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.8830003738403001,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,898
2017-01-14,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.0970001220704013,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,898
2019-01-15,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5980008239745978,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,898
2017-01-15,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.0970001220704013,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,897
2015-01-16,ttf_baseload_q3_2017,ttf_baseload_q4_2017,-1.6119998931885,ttf_baseload_q3_2017-ttf_baseload_q4_2017,2017,2017-07-01,897
2019-01-16,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5180004119873018,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,897
2018-01-16,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.2579995269774997,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,897
2016-01-16,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.6820001602172994,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,897
2018-01-17,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.307999908447302,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,896
2015-01-17,ttf_baseload_q3_2017,ttf_baseload_q4_2017,-1.5340003967285014,ttf_baseload_q3_2017-ttf_baseload_q4_2017,2017,2017-07-01,896
2017-01-16,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.1170001983643019,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,896
2016-01-17,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.6820001602172994,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,896
2019-01-17,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.6080005645751996,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,896
2019-01-18,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5989994049072003,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,895
2015-01-18,ttf_baseload_q3_2017,ttf_baseload_q4_2017,-1.5340003967285014,ttf_baseload_q3_2017-ttf_baseload_q4_2017,2017,2017-07-01,895
2017-01-17,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-0.9869995117187997,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,895
2018-01-18,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.3250004882812991,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,895
2016-01-18,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.9470001220702997,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,895
